epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,128.007,0.48429,0.38141,0.85198,0.99126,1,0.995,0.83058,0.67531,0.37647,0.83628,0.000577782,0.000577782,0.000577782
134,128.961,0.49219,0.40986,0.8496,0.99094,1,0.995,0.8313,0.67164,0.37361,0.8339,0.000569531,0.000569531,0.000569531
135,129.891,0.45573,0.39756,0.84177,0.99178,1,0.995,0.82446,0.67601,0.37571,0.83416,0.000561279,0.000561279,0.000561279
136,130.832,0.48768,0.40489,0.8546,0.99319,1,0.995,0.8297,0.67759,0.37676,0.83529,0.000553027,0.000553027,0.000553027
137,131.795,0.46432,0.39246,0.83136,0.99502,1,0.995,0.83419,0.67884,0.3827,0.83829,0.000544776,0.000544776,0.000544776
138,132.697,0.47436,0.38805,0.86269,0.99642,1,0.995,0.82791,0.68003,0.37934,0.84251,0.000536524,0.000536524,0.000536524
139,133.597,0.45226,0.38254,0.84937,0.99635,1,0.995,0.82195,0.67487,0.38685,0.84104,0.000528272,0.000528272,0.000528272
140,134.485,0.48049,0.39172,0.85609,0.99556,1,0.995,0.82374,0.66729,0.37896,0.8379,0.000520021,0.000520021,0.000520021
141,135.379,0.47047,0.38532,0.84106,0.99451,1,0.995,0.83348,0.67047,0.37086,0.83678,0.000511769,0.000511769,0.000511769
142,136.33,0.4879,0.35884,0.84013,0.99395,1,0.995,0.84692,0.67703,0.35686,0.84022,0.000503517,0.000503517,0.000503517
143,137.244,0.47576,0.37572,0.85643,0.99399,1,0.995,0.83808,0.67878,0.35117,0.84043,0.000495266,0.000495266,0.000495266
144,138.192,0.48668,0.40528,0.84311,0.99429,1,0.995,0.8307,0.67706,0.35719,0.83777,0.000487014,0.000487014,0.000487014
145,139.126,0.45902,0.37809,0.81573,0.99455,1,0.995,0.83054,0.67881,0.36347,0.84009,0.000478762,0.000478762,0.000478762
146,140.323,0.44929,0.36131,0.83054,0.99442,1,0.995,0.84028,0.68353,0.36478,0.84345,0.000470511,0.000470511,0.000470511
147,141.313,0.4621,0.39628,0.85372,0.99378,1,0.995,0.8425,0.67488,0.36044,0.84276,0.000462259,0.000462259,0.000462259
148,142.21,0.4757,0.40141,0.84414,0.99317,1,0.995,0.82629,0.67291,0.36131,0.83932,0.000454007,0.000454007,0.000454007
149,143.122,0.46038,0.38524,0.86105,0.99332,1,0.995,0.82511,0.67613,0.36675,0.83458,0.000445756,0.000445756,0.000445756
150,144.03,0.47106,0.38184,0.83524,0.99402,1,0.995,0.81713,0.69526,0.36975,0.83925,0.000437504,0.000437504,0.000437504
151,144.921,0.4858,0.37413,0.84502,0.99483,1,0.995,0.81496,0.69978,0.37105,0.84184,0.000429253,0.000429253,0.000429253
152,146.038,0.48342,0.3694,0.86942,0.99534,1,0.995,0.83115,0.68453,0.37921,0.83902,0.000421001,0.000421001,0.000421001
153,147.308,0.48639,0.38367,0.84018,0.995,1,0.995,0.82919,0.6687,0.36279,0.8357,0.000412749,0.000412749,0.000412749
154,148.521,0.46845,0.39361,0.8524,0.99404,1,0.995,0.8335,0.66057,0.35736,0.83239,0.000404498,0.000404498,0.000404498
155,149.508,0.41705,0.37372,0.82518,0.99278,1,0.995,0.8244,0.66303,0.34466,0.83075,0.000396246,0.000396246,0.000396246
156,150.449,0.49318,0.37075,0.85559,0.99253,1,0.995,0.83501,0.67489,0.33479,0.8329,0.000387994,0.000387994,0.000387994
157,151.36,0.46229,0.40359,0.82434,0.99283,1,0.995,0.83283,0.68042,0.34116,0.8349,0.000379743,0.000379743,0.000379743
158,152.271,0.44819,0.3608,0.84744,0.99317,1,0.995,0.83474,0.68756,0.34424,0.83829,0.000371491,0.000371491,0.000371491
159,153.212,0.43656,0.3641,0.85192,0.99366,1,0.995,0.83614,0.69356,0.34838,0.84231,0.000363239,0.000363239,0.000363239
160,154.173,0.4352,0.343,0.83991,0.99393,1,0.995,0.82399,0.69825,0.35311,0.84348,0.000354988,0.000354988,0.000354988
161,155.109,0.4568,0.37814,0.82408,0.99418,1,0.995,0.81992,0.70292,0.36359,0.84282,0.000346736,0.000346736,0.000346736
162,156.066,0.43669,0.36455,0.84025,0.99426,1,0.995,0.81783,0.69912,0.35868,0.84142,0.000338484,0.000338484,0.000338484
163,156.996,0.4481,0.3623,0.83248,0.99436,1,0.995,0.82428,0.69036,0.35683,0.83992,0.000330233,0.000330233,0.000330233
164,157.933,0.45117,0.35798,0.82814,0.99442,1,0.995,0.82742,0.68213,0.34523,0.83973,0.000321981,0.000321981,0.000321981
165,158.845,0.44273,0.35125,0.83856,0.9943,1,0.995,0.82666,0.67315,0.33334,0.84069,0.000313729,0.000313729,0.000313729
166,159.793,0.454,0.37013,0.8374,0.99457,1,0.995,0.82403,0.67372,0.33411,0.8423,0.000305478,0.000305478,0.000305478
167,160.709,0.45515,0.35498,0.83923,0.99458,1,0.995,0.8276,0.67791,0.33834,0.84276,0.000297226,0.000297226,0.000297226
